Product Name, Price, Section
ONION STANDARD LOOSE KG, Rs. 35.9, Fruits and Vegetables
APPLE ROYAL GALA KG, Rs. 289, Fruits and Vegetables
GINGER FRESH  200GM, Rs. 14.4, Fruits and Vegetables
Mango sindhura KG, Rs. 55, Fruits and Vegetables
MANGO NEELAM KG, Rs. 55, Fruits and Vegetables
Mango Banganappalli KG, Rs. 59, Fruits and Vegetables
APPLE RED DEL KG, Rs. 249, Fruits and Vegetables
COWPEA KARAMANI WHITE SHORT 500GM, Rs. 26, Fruits and Vegetables
CELARY EA, Rs. 36, Fruits and Vegetables
PAPPAYA RED LADY APROX 1.7 KG, Rs. 66.3, Fruits and Vegetables
COCONUT KG, Rs. 45, Fruits and Vegetables
SAPOTA KG, Rs. 49, Fruits and Vegetables
MANGO RAW KG, Rs. 39, Fruits and Vegetables
CUCUMBER GREEN KG, Rs. 65, Fruits and Vegetables
BANANA RAW NENDRAN KG, Rs. 48, Fruits and Vegetables
BANANA RAW KG, Rs. 44, Fruits and Vegetables
PINE APPLE KG, Rs. 34, Fruits and Vegetables
BANANA YELAKKI 500GM, Rs. 24, Fruits and Vegetables
TOMATO HYBRID  500GM, Rs. 14, Fruits and Vegetables
TOMATO COUNTRY KG, Rs. 26, Fruits and Vegetables
CURRY CUCUMBER 500G, Rs. 19.5, Fruits and Vegetables
SALAD CUCUMBER WHITE KG, Rs. 42, Fruits and Vegetables
TAPIOCA KG, Rs. 24, Fruits and Vegetables
YAM SLICE KG, Rs. 39, Fruits and Vegetables
CARROT 500G, Rs. 29.5, Fruits and Vegetables
BEETROOT 500G, Rs. 24.5, Fruits and Vegetables
POTATO PREMIUM OOTY KG, Rs. 33, Fruits and Vegetables
POMEGRANATE KG, Rs. 175, Fruits and Vegetables
ORANGE IMPORT KG, Rs. 109, Fruits and Vegetables
PUMPKIN KG, Rs. 29, Fruits and Vegetables
ASH GOURD 500G, Rs. 12, Fruits and Vegetables
LADIES FINGER 500G, Rs. 24.5, Fruits and Vegetables
DRUMSTICK 200G, Rs. 17.8, Fruits and Vegetables
COCCINIA 500G, Rs. 24.5, Fruits and Vegetables
SAMBAR ONION 500GM, Rs. 39.5, Fruits and Vegetables
ONION PREMIUM PACKED KG, Rs. 38.9, Fruits and Vegetables
GARLIC INDIAN 200G, Rs. 33.8, Fruits and Vegetables
WATER MELON KIRAN FULL APROX 2.5KG, Rs. 42.5, Fruits and Vegetables
MUSK MELON KG, Rs. 45, Fruits and Vegetables
SPRING ONION EA, Rs. 21, Fruits and Vegetables
PALAK EA, Rs. 13, Fruits and Vegetables
MINT EA, Rs. 10, Fruits and Vegetables
CURRY LEAF EA, Rs. 9, Fruits and Vegetables
CORIANDER EA, Rs. 9, Fruits and Vegetables
BROCOLLI 200G, Rs. 55, Fruits and Vegetables
AMARANTHUS RED BUNCH EA, Rs. 14, Fruits and Vegetables
AMARANTHUS GREEN BUNCH EA, Rs. 14, Fruits and Vegetables
APPLE GRANNY SMITH KG, Rs. 279, Fruits and Vegetables
SNAKEGOURD SHORT 500G, Rs. 22, Fruits and Vegetables
RIDGE GOURD 500G, Rs. 34.5, Fruits and Vegetables
BOTTLE GOURD 500G, Rs. 19.5, Fruits and Vegetables
BITTER GOURD GREEN 500G, Rs. 34.5, Fruits and Vegetables
GOOSEBERRY 250G, Rs. 19.75, Fruits and Vegetables
ICE BERG 200G, Rs. 25.8, Fruits and Vegetables
CAULIFLOWER KG, Rs. 52, Fruits and Vegetables
CABBAGE  500G, Rs. 19.5, Fruits and Vegetables
CHINESE CABBAGE KG, Rs. 89, Fruits and Vegetables
LEMON 200G, Rs. 9, Fruits and Vegetables
KOORKA KG, Rs. 79, Fruits and Vegetables
CHILLI LONG 200G, Rs. 11.8, Fruits and Vegetables
CAPSICUM GREEN 500G, Rs. 36, Fruits and Vegetables
CAPSICUM COLOUR 200G, Rs. 37.8, Fruits and Vegetables
BRINJAL PURPLE ROUND 500G, Rs. 19.5, Fruits and Vegetables
BUSH BEANS WHITE 500G, Rs. 44.5, Fruits and Vegetables
BANANA NENDRAN KG, Rs. 48, Fruits and Vegetables
